"lake_name","var_aeme","mean_value","max_value","min_value"
"Haupiri","PHY_rstchla",8.47252803828127,47.9837883333333,2.07753666666666
"Haupiri","PHY_tchla",1.67654666666667,10.7,0.1
"Haupiri","RAD_secchi",2.25415584415584,6.3,1.41
"Hawea","CHM_oxy",10.1327573386575,16.677,0.717
"Hawea","CHM_oxycln",41.1298947772328,190.594202898551,0.5
"Hawea","CHM_oxyepi",9.07483632543317,10.867,5.54758620689655
"Hawea","CHM_oxymet",9.22076388888889,10.01,7.145
"Hawea","CHM_oxymom",0.00471113626552218,0.306553571428571,-0.157932320441989
"Hawea","CHM_oxynal",0.0185185185185185,1,0
"Hawea","CHM_ph",7.62329341317365,8.1,7
"Hawea","HYD_ctrbuy",79.1063080057587,197.905838264059,25.3339474423061
"Hawea","HYD_epidep",37.0481306685004,84.5449867264184,1.48207407527814
"Hawea","HYD_hypdep",37.2944939329783,84.5449867264184,1.48207407527814
"Hawea","HYD_schstb",17806.8535150908,39697.8310773084,16.7642320771995
"Hawea","HYD_surft",12.0211617088106,20.3230537804894,1.89247426071336
"Hawea","HYD_temp",9.95774431865828,18.6345,9.004
"Hawea","HYD_thmcln",131.755967153676,384,1.48207407527814
"Hawea","LKE_tli3",1.57464453044233,3.25754857833367,-1.52806685796572
"Hawea","LKE_tli4",1.26547203118654,2.47634745687435,0.405743959000957
"Hawea","NIT_amm",0.0015985401459854,0.007,0
"Hawea","NIT_nit",0.0178636363636364,0.035,0.001
"Hawea","NIT_nnn",0.0178972972972973,0.035,0.001
"Hawea","NIT_tn",0.0521143790849673,0.192,0.01
"Hawea","PHS_frp",0.00176344086021505,0.038,0.001
"Hawea","PHS_tp",0.0035924617196702,0.058,5e-04
"Hawea","PHY_rstchla",0.77997253125,1.38208333333333,0.416806000000003
"Hawea","PHY_tchla",0.371968052911113,36.688,0.001
"Hawea","RAD_secchi",12.7061643835616,20.8,2.6
"Hawea","ext_NCS_tur",0.512596774193548,2.299,0
"Hawea","ext_NIT_nte",0.001,0.001,0.001
"Horowhenua","CHM_dsi",15.6485714285714,33.24,6.22
"Horowhenua","CHM_oxy",10.780775462963,16.8975,2.7525
"Horowhenua","CHM_ph",8.58032258064516,10.38,7.1
"Horowhenua","HYD_ctrbuy",0.557142857142857,0.6,0.45
"Horowhenua","HYD_epidep",0.933333333333333,1,0.7
"Horowhenua","HYD_hypdep",0.933333333333333,1,0.7
"Horowhenua","HYD_schstb",0.0168960293568866,0.148099686374823,-0.0914226868814395
"Horowhenua","HYD_surft",15.7304514395452,29.3196263382411,7.42120968141433
"Horowhenua","HYD_temp",16.4998470948012,26.5,8.3725
"Horowhenua","HYD_thmcln",1.99,1.99,1.99
"Horowhenua","LKE_tli3",6.20584420081302,9.72813509437911,4.3861755123388
"Horowhenua","LKE_tli4",6.11656333122027,7.91666272357302,5.12655925790467
"Horowhenua","NCS_tss",22.5333333333333,54,3
"Horowhenua","NCS_vss",5.42857142857143,16,3
"Horowhenua","NIT_amm",0.0137339449541284,0.24,0
"Horowhenua","NIT_nit",0.870958333333333,3.3,0.01
"Horowhenua","NIT_tn",2.68438202247191,17.7,0.74
"Horowhenua","PHS_frp",0.0163636363636364,0.072,0.001
"Horowhenua","PHS_tp",0.220692307692308,2.95,0.023
"Horowhenua","PHY_cyano",11.6473333333333,161.7,0
"Horowhenua","PHY_rstchla",39.3165936713911,229.558003333333,6.91401833333334
"Horowhenua","PHY_tchla",63.3169047619048,1650,1.9
"Horowhenua","RAD_secchi",0.851515151515152,2.1,0.1
"Horowhenua","ext_CHM_oxysat",109.644444444444,189.85,30.575
"Horowhenua","ext_NCS_tur",52.317123655914,2180,0.713333333333333
"Horowhenua","ext_NIT_nte",0.0123571428571429,0.0225,0.006
"Horowhenua","ext_NIT_tkn",1.72666666666667,3.8,0.5
"Horowhenua","ext_RAD_blkdsc",0.318888888888889,0.376666666666667,0.27
"Humuhumu","CHM_oxy",7.77122377326565,11.3,0
"Humuhumu","CHM_oxycln",7.23720966331241,10.6151529168773,2.61955770559779
"Humuhumu","CHM_oxymet",3.95188765432099,8.81666666666667,0.896333333333333
"Humuhumu","CHM_oxynal",3.24137931034483,14,0
"Humuhumu","CHM_ph",8.16397058823529,9.14,7
"Humuhumu","HYD_ctrbuy",5.67760257403428,8.47023239622362,2.01211001236925
"Humuhumu","HYD_epidep",7.42738200652344,10.606678537826,2.49178109610624
"Humuhumu","HYD_hypdep",9.03781579724756,11.4446003460915,2.74893000837957
"Humuhumu","HYD_lvlstaff",17.0635,99,0.92
"Humuhumu","HYD_schstb",35.8961125433444,196.332486307562,0.143773016796773
"Humuhumu","HYD_surft",13.9998148635984,23.9971894941427,7.7704101096104
"Humuhumu","HYD_temp",18.3800943474647,25.27,12.6
"Humuhumu","HYD_thmcln",11.8148600283458,15.16,2.61265339667154
"Humuhumu","LKE_tli3",3.63665311283359,4.76932182783117,0.879049583799444
"Humuhumu","LKE_tli4",3.67203408757262,4.61319368109425,1.67245632181009
"Humuhumu","NCS_iss",1.04,4.8,0.5
"Humuhumu","NCS_tss",2.104,6.2,0.5
"Humuhumu","NCS_vss",1.60382352941176,4,0.5
"Humuhumu","NIT_amm",0.00601666666666667,0.049,0
"Humuhumu","NIT_don",0.266044117647059,0.38,0.13
"Humuhumu","NIT_nit",0.00846,0.102,0.001
"Humuhumu","NIT_nnn",0.00519047619047619,0.018,0.002
"Humuhumu","NIT_tdn",0.288796610169492,0.406,0.217
"Humuhumu","NIT_tn",0.340115853658537,0.61,0.251
"Humuhumu","PHS_dop",0.00586666666666667,0.021,0.001
